,RANK,NAME,PRICE,MARKET CAP,VOLUME(24H),SUPPLY
1,1,BTC,"$27,937.04","$540,180,606,528",$540.18B,"19,340,868 BTC"
2,2,ETH,"$1,855.63","$223,437,882,168",$223.44B,"120,457,776 ETH"
3,3,USDT,$1.00,"$80,221,356,717",$80.22B,"80,195,385,809 USDT"
4,4,BNB,$311.02,"$49,100,018,216",$49.10B,"157,886,767 BNB"
5,5,USDC,$0.9998,"$32,595,327,949",$32.60B,"32,600,512,574 USDC"
6,6,XRP,$0.5058,"$26,137,064,102",$26.14B,"51,688,470,797 XRP"
7,7,ADA,$0.3848,"$13,382,300,161",$13.38B,"34,758,598,387 ADA"
8,8,DOGE,$0.08143,"$11,303,242,266",$11.30B,"138,858,036,384 DOGE"
9,9,MATIC,$1.11,"$10,129,263,523",$10.13B,"9,164,469,069 MATIC"
10,10,SOL,$20.20,"$7,827,792,775",$7.83B,"387,940,099 SOL"
11,11,DOT,$6.14,"$7,209,331,237",$7.21B,"1,174,342,448 DOT"
12,12,BUSD,$0.9998,"$7,068,124,022",$7.07B,"7,070,499,351 BUSD"
13,13,LTC,$90.04,"$6,541,853,112",$6.54B,"72,662,364 LTC"
14,14,SHIB,$0.00001084,"$6,390,565,965",$6.39B,"589,542,658,602,750 SHIB"
15,15,TRX,$0.06616,"$6,014,930,672",$6.01B,"90,907,140,787 TRX"
16,16,AVAX,$17.52,"$5,713,012,722",$5.71B,"326,139,895 AVAX"
17,17,DAI,$0.9994,"$5,275,524,846",$5.28B,"5,278,863,750 DAI"
18,18,WBTC,"$27,953.99","$4,223,051,641",$4.22B,"151,051 WBTC"
19,19,LINK,$7.14,"$3,691,038,374",$3.69B,"517,099,970 LINK"
20,20,UNI,$5.93,"$3,422,461,469",$3.42B,"577,486,703 UNI"
21,21,LEO,$3.37,"$3,211,316,653",$3.21B,"953,954,130 LEO"
22,22,ATOM,$10.96,"$3,137,670,031",$3.14B,"286,370,297 ATOM"
23,23,XMR,$158.44,"$2,891,223,235",$2.89B,"18,263,224 XMR"
24,24,ETC,$20.34,"$2,854,719,563",$2.85B,"140,370,336 ETC"
25,25,XLM,$0.1045,"$2,791,778,357",$2.79B,"26,717,987,838 XLM"
26,26,TON,$2.22,"$2,713,797,844",$2.71B,"1,221,401,181 TON"
27,27,OKB,$41.27,"$2,476,734,462",$2.48B,"60,000,000 OKB"
28,28,FIL,$5.82,"$2,405,042,587",$2.41B,"413,477,983 FIL"
29,29,BCH,$123.61,"$2,392,850,040",$2.39B,"19,359,356 BCH"
30,30,TUSD,$0.9999,"$2,090,471,315",$2.09B,"2,090,206,882 TUSD"
31,31,LDO,$2.38,"$2,063,562,128",$2.06B,"867,031,556 LDO"
32,32,HBAR,$0.06494,"$1,989,284,097",$1.99B,"30,633,415,341 HBAR"
33,33,APT,$10.88,"$1,963,896,809",$1.96B,"180,462,793 APT"
34,34,VET,$0.024,"$1,740,347,349",$1.74B,"72,511,146,418 VET"
35,35,CRO,$0.06841,"$1,727,852,979",$1.73B,"25,263,013,692 CRO"
36,36,NEAR,$1.97,"$1,702,877,192",$1.70B,"866,021,029 NEAR"
37,37,ALGO,$0.2167,"$1,559,312,181",$1.56B,"7,195,828,135 ALGO"
38,38,APE,$4.21,"$1,551,580,018",$1.55B,"368,593,750 APE"
